id,asukoht,kogudus,2017,2018,2019,2020
19,Nõo,nõo,52 933.55,28 228.69,161 308.02,149 859.00
112,Nõva,nõva,8 310.87,33 362.95,82 486.28,18 089.59
57,Orissaare,orissaare,42 514.45,65 742.15,74 260.46,47 526.22
94,Otepää,otepää,45 184.81,27 146.64,11 416.05,24 199.35
70,Paide,paide,38 631.00,47 086.00,96 076.00,39 179.00
128,Paistu,paistu,39 038.22,31 896.38,14 217.50,11 454.00
68,Palamuse,palamuse,38 133.00,38 062.01,39 601.32,40 014.43
141,Paldiski,paldiski,11 280.16,8 377.15,8 631.38,7 121.73
167,Petseri,petseri,424.04,1 832.28,3 344.05,
135,Piirsalu,piirsalu,6 657.54,8 102.66,6 801.17,8 939.99
25,Pilistvere,pilistvere,191 932.41,183 361.70,178 679.06,125 728.32
56,Pindi,pindi,35 271.92,27 928.55,50 975.34,47 908.28
154,Prangli,prangli,1 806.79,3 643.72,1 825.55,3 521.00
10,Puhja,puhja,20 726.00,40 007.00,130 961.00,254 261.07
7,Pärnu,pärnu,492 453.49,298 136.81,296 583.21,312 258.13
42,Pärnu-Jakobi,pärnu-jakobi,26 786.17,33 422.76,44 432.41,68 526.57
21,Põltsamaa,põltsamaa,151 719.89,155 576.90,148 460.33,142 291.54
12,Põlva,põlva,118 832.00,90 353.00,113 512.00,220 337.00
101,Pöide,pöide,9 646.33,8 380.72,12 033.13,21 603.77
46,Püha,püha,60 550.17,72 604.46,182 067.39,64 784.19
145,Pühajõe,pühajõe,6 026.50,30 858.89,57 423.23,6 258.00
148,Pühalepa,pühalepa,6 862.70,7 023.30,13 034.10,5 178.86
6,Rakvere,rakvere,99 143.49,102 793.73,169 883.07,373 675.11
130,Randvere,randvere,16 577.61,10 035.62,9 650.63,10 463.56
52,Rannamõisa,rannamõisa,47 851.21,47 751.38,56 694.98,54 827.00
80,Rannu,rannu,20 874.26,12 300.78,40 564.90,30 748.88
14,Rapla,rapla,197 354.68,205 461.03,163 049.35,192 744.49
65,Reigi,reigi,17 881.00,23 876.00,51 201.00,41 304.00
79,Ridala,ridala,32 615.40,31 957.25,47 358.42,32 429.66
22,Risti,risti,81 037.19,105 843.62,95 173.98,136 895.00
160,Roosa,roosa,0.00,80.00,50.00,1 712.00
124,Ruhnu,ruhnu,10 682.14,15 119.02,21 249.93,12 088.95
4,Räpina,räpina,346 098.00,320 710.00,381 757.00,382 557.00
97,Rõngu,rõngu,14 101.20,20 363.00,15 562.06,23 460.45
18,Rõuge,rõuge,25 385.00,35 321.00,34 458.00,156 336.00
43,Saarde,saarde,86 067.00,29 636.00,54 874.00,67 062.00
157,Saaremaa Jaani,saaremaa jaani,1 139.75,2 370.27,2 400.71,2 961.78
86,Saksa,saksa,104 969.53,101 358.18,14 982.72,27 782.97
102,Saku,saku,14 987.00,14 257.00,20 412.00,21 394.00
77,Sangaste,sangaste,22 036.96,22 933.89,101 314.89,34 995.63
48,Saue,saue,,,46 952.89,59 083.00
89,Simuna,simuna,22 962.16,95 406.53,46 844.86,26 976.75
153,Sindi,sindi,4 299.76,3 686.54,3 272.43,3 808.32
74,Soome,soome,41 418.96,45 019.94,41 382.73,37 615.83
81,Suure-Jaani,suure-jaani,16 277.07,23 773.86,34 742.00,30 485.42
137,Taagepera,taagepera,6 095.00,6 333.00,32 178.82,8 399.66
161,Tahkuranna,tahkuranna,16 010.00,11 725.65,1 878.65,1 573.95
vald32,Tallinn,tallinna jaani,370 504.85,321 295.00,530 710.00,443 433.00
vald32,Tallinn,tallinna peeteli,39 471.00,260 666.00,50 561.00,38 064.00
vald32,Tallinn,tallinna püha vaimu,99 652.00,86 987.00,97 310.00,79 933.00
vald32,Tallinn,tallinna rootsi-mihkli,120 951.10,138 014.86,109 986.36,124 166.00
vald32,Tallinn,tallinna toomkogudus,453 028.26,2 554 133.19,511 432.00,224 821.08
vald32,Tallinn,tallinna toompea kaarli,1 155 863.00,1 628 079.00,2 401 166.00,1 828 631.00
162,Tamsalu,tamsalu,0.00,0.00,1 165.82,1 515.00
105,Tapa,tapa,20 406.03,16 848.07,21 250.39,21 018.00
38,Tartu Maarja,tartu maarja,50 213.80,53 381.41,79 973.00,77 639.00
2,Tartu Pauluse,tartu pauluse,446 356.00,461 755.00,500 859.00,492 069.00
23,Tartu Peetri,tartu peetri,149 609.00,145 112.00,138 147.00,135 869.00
163,Tartu Soome,tartu soome,601.00,638.00,539.00,1 349.00
49,Tartu Ülikooli-Jaani,tartu ülikooli-jaani,25 070.00,28 800.00,32 768.00,58 877.00
119,Tarvastu,tarvastu,8 588.00,19 466.00,12 817.00,14 351.26
110,Tori,tori,37 713.00,17 452.00,117 426.00,19 194.00
91,Torma,torma,24 613.00,30 617.00,28 826.00,25 866.00
159,Treimani,treimani,1 803.74,1 717.76,1 085.04,1 901.00
151,Tudulinna,tudulinna,2 968.49,2 855.06,5 449.08,4 482.00
44,Tuhala,tuhala,17 660.05,26 023.00,51 162.00,66 062.00
144,Tõstamaa,tõstamaa,3 957.60,4 642.19,5 530.79,6 283.87
34,Türi,türi,72 212.00,42 493.00,94 321.00,81 368.00
33,Urvaste,urvaste,134 291.00,163 804.01,144 621.00,86 144.52
139,Vahastu,vahastu,7 990.00,41 056.00,6 883.00,8 155.00
50,Valga,valga,24 957.52,30 308.00,37 368.02,57 006.24
168,Valjala,valjala,92 913.00,107 923.97,77 180.50,
126,Vara,vara,1 878.20,1 939.70,2 388.00,11 970.29
138,Varbla,varbla,24 354.06,8 651.79,9 835.28,8 159.90
69,Vastseliina,vastseliina,39 404.20,41 221.00,45 699.98,39 220.51
75,Vigala,vigala,28 071.56,29 686.08,34 602.81,35 996.00
61,Viimsi,viimsi,111 338.00,47 939.00,39 092.00,43 624.00
15,Viljandi Jaani,viljandi jaani,128 683.69,144 820.60,178 797.75,169 173.00
13,Viljandi Pauluse,viljandi pauluse,139 427.00,304 946.00,437 187.00,219 794.00
169,Viru-Jaakobi,viru-jaakobi,5 946.00,9 503.00,9 847.00,
146,Viru-Nigula,viru-nigula,56 887.53,7 050.81,6 486.57,5 895.80
117,Vormsi,vormsi,31 200.65,23 858.53,,14 878.00
115,Väike-Maarja,väike-maarja,,,,16 271.57
82,Vändra,vändra,,,,30 182.02
92,Võnnu,võnnu,14 431.00,,,24 876.00
88,Võru,võru,,,,27 175.55
51,Äksi,äksi,,,,56 798.00
