kogudus,auskoht,aasta,liikmeid_kokku,keskmiselt_vottis_jumala_teenistustest_osa,ristiti,maeti,laulatati,abielu_registreeriti,noorte_toos_osales,lastetoos_osales,annetaja_liikmeid_oli_kokku,praostkond,tulud_kokku,liikmeannetused_eur,korjandused_eur,ametitalitused_eur,avaliku_sektori_toetused_kokku_eur,tulu_kinnisvarast_eur,valisannetused_ja_toetused_kokku_eur,kulud_kokku_eur
Harkujärve Kogudus,vald77,2019,48,16,2,3,4,0,0,40,26,Tallinna,8 888 €,1 961 €,2 243 €, 150 €, 0 €, 0 €, 210 €,4 161 €
Harkujärve Kogudus,vald78,2020,54,18.3,4,5,2,0,0,20,40,Tallinna,19 933 €,4 734 €,2 264 €, 420 €,2 494 €,1 530 €,1 090 €,-12 440 €
Helme Maarja Kogudus,vald79,2017,4350,27,6,55,1,1,6,100,401,Viljandi,31 612 €,7 792 €,6 720 €,3 880 €, 568 €,4 458 €,3 014 €,29 147 €
Helme Maarja Kogudus,vald80,2018,4330,24,15,47,0,0,8,110,365,Viljandi,32 826 €,7 283 €,8 192 €,4 150 €,4 409 €,4 336 €,3 252 €,34 580 €
Helme Maarja Kogudus,vald81,2019,4320,25,11,52,1,0,83,115,345,Viljandi,35 029 €,6 152 €,6 484 €,4 610 €,9 930 €,5 318 €,1 685 €,33 781 €
Helme Maarja Kogudus,vald82,2020,4300,10,2,54,1,1,0,6,330,Viljandi,40 791 €,7 167 €,5 782 €,4 625 €,14 830 €,4 361 €,3 293 €,38 711 €
Iisaku Kogudus,vald83,2017,530,26,2,8,4,0,0,0,110,Viru,100 977 €,3 927 €,1 760 €, 135 €,61 000 €,3 200 €, 295 €,86 095 €
Iisaku Kogudus,vald84,2018,520,32.12,3,13,1,0,0,0,100,Viru,97 946 €,3 630 €,2 176 €, 0 €,60 864 €, 780 €,1 330 €,96 430 €
Iisaku Kogudus,vald85,2019,520,27,3,8,1,0,0,0,102,Viru,14 187 €,4 400 €,4 788 €, 0 €,1 000 €, 780 €, 320 €,10 262 €
Iisaku Kogudus,vald86,2020,510,15,2,8,1,0,0,0,96,Viru,11 831 €,4 600 €,2 546 €,NA,1 000 €,3 266 €, 315 €,14 477 €
Illuka Kogudus,vald87,2017,200,15,1,5,0,0,0,0,42,Viru,6 087 €, 755 €,1 352 €, 0 €,3 750 €, 0 €, 230 €,7 904 €
Illuka Kogudus,vald88,2018,120,10,0,5,0,0,0,0,42,Viru,2 092 €,1 020 €, 832 €, 0 €, 0 €, 0 €, 240 €,1 942 €
Illuka Kogudus,vald89,2019,120,12,0,2,0,0,0,0,38,Viru,2 886 €,1 045 €, 584 €, 0 €,1 000 €, 0 €, 257 €,2 738 €
Illuka Kogudus,vald90,2020,120,7,1,6,0,0,0,0,35,Viru,2 865 €,1 040 €, 570 €, 0 €,1 000 €, 0 €, 0 €,2 646 €
