kogudus,auskoht,aasta,liikmeid_kokku,keskmiselt_vottis_jumala_teenistustest_osa,ristiti,maeti,laulatati,abielu_registreeriti,noorte_toos_osales,lastetoos_osales,annetaja_liikmeid_oli_kokku,praostkond,tulud_kokku,liikmeannetused_eur,korjandused_eur,ametitalitused_eur,avaliku_sektori_toetused_kokku_eur,tulu_kinnisvarast_eur,valisannetused_ja_toetused_kokku_eur,kulud_kokku_eur
Karula Kogudus,vald178,2020,480,1202,17,66,2,0,0,0,110,Valga,41 506 €,2 584 €,5 630 €,1 161 €,19 000 €,1 913 €,8 950 €,44 970 €
Karuse Margareeta Kogudus,vald179,2017,200,25,5,8,1,0,0,0,20,Lääne,8 880 €, 933 €, 940 €, 0 €, 184 €,1 770 €, 0 €,1 956 €
Karuse Margareeta Kogudus,vald180,2018,200,16,0,4,0,0,0,0,18,Lääne,20 450 €, 608 €, 585 €, 0 €, 0 €,1 698 €, 0 €,26 296 €
Karuse Margareeta Kogudus,vald181,2019,200,12,0,1,0,0,0,0,15,Lääne,14 186 €, 774 €, 850 €, 100 €, 500 €,1 771 €, 0 €,12 892 €
Karuse Margareeta Kogudus,vald182,2020,200,7,0,20,0,0,0,0,15,Lääne,4 698 €, 579 €, 820 €, 285 €, 500 €,1 944 €, 0 €,2 126 €
Käsmu Kogudus,vald183,2017,166,18,6,4,0,0,0,12,80,Viru,16 465 €,6 275 €,4 722 €,1 105 €, 150 €,1 570 €, 260 €,12 857 €
Käsmu Kogudus,vald184,2018,174,18,6,2,0,0,0,12,81,Viru,19 162 €,7 350 €,4 092 €, 715 €, 0 €,1 050 €, 0 €,15 251 €
Käsmu Kogudus,vald185,2019,187,17,12,2,1,1,0,7,87,Viru,205 818 €,6 870 €,3 907 €,1 020 €,11 675 €,1 150 €,3 304 €,188 021 €
Käsmu Kogudus,vald186,2020,190,12,0,4,3,3,0,5,87,Viru,20 399 €,8 124 €,2 281 €, 950 €,7 007 €,NA, 732 €,24 602 €
Keila Miikaeli Kogudus,vald187,2017,2860,75,26,31,6,3,5,44,401,Lääne-Harju,63 507 €,16 294 €,9 898 €,5 305 €,4 200 €,3 335 €,13 406 €,63 934 €
Keila Miikaeli Kogudus,vald188,2018,2863,76,15,30,2,0,6,46,296,Lääne-Harju,73 735 €,15 626 €,10 672 €,5 070 €,20 628 €,2 522 €,10 910 €,73 401 €
Keila Miikaeli Kogudus,vald189,2019,2863,62,28,35,2,0,6,15,302,Lääne-Harju,57 261 €,15 009 €,9 610 €,6 905 €,9 882 €,2 803 €,3 000 €,56 082 €
Keila Miikaeli Kogudus,vald190,2020,2879,36,26,29,4,0,4,10,309,Lääne-Harju,166 467 €,15 819 €,9 675 €,5 720 €,105 992 €,1 401 €,3 000 €,137 393 €
Kihelkonna Mihkli Kogudus,vald191,2017,1120,53,12,32,5,4,10,47,368,Saarte,94 848 €,12 797 €,6 697 €,3 570 €,13 853 €, 313 €,10 221 €,111 028 €
Kihelkonna Mihkli Kogudus,vald192,2018,1120,54,5,20,2,1,8,41,357,Saarte,98 224 €,14 557 €,7 701 €,2 322 €,13 849 €, 537 €,10 915 €,92 787 €
Kihelkonna Mihkli Kogudus,vald193,2019,1120,52,8,36,0,0,8,40,348,Saarte,81 888 €,15 050 €,9 036 €,3 405 €,5 420 €, 535 €,25 729 €,62 534 €
Kihelkonna Mihkli Kogudus,vald194,2020,1120,35,6,31,2,1,0,28,351,Saarte,375 837 €,15 083 €,5 610 €,2 650 €,319 801 €, 387 €,5 720 €,185 108 €
Kirbla Püha Nikolause Kogudus,vald195,2017,80,7,0,1,0,0,0,0,21,Lääne,7 450 €, 594 €, 95 €, 40 €, 0 €,2 580 €,3 832 €,3 327 €
Kirbla Püha Nikolause Kogudus,vald196,2018,50,6,0,4,0,0,0,0,16,Lääne,8 437 €, 717 €, 90 €, 330 €, 0 €,4 425 €,1 673 €,10 418 €
Kirbla Püha Nikolause Kogudus,vald197,2019,50,6,0,3,1,0,0,0,15,Lääne,12 070 €, 580 €, 242 €, 430 €, 0 €,4 793 €,2 902 €,9 717 €
Kirbla Püha Nikolause Kogudus,vald198,2020,50,4,0,4,0,0,0,0,13,Lääne,9 301 €, 875 €, 260 €, 200 €, 570 €,5 149 €,1 715 €,4 108 €
Kodavere Mihkli Kogudus,vald199,2017,350,11.75,4,13,0,0,0,0,88,Tartu,8 959 €,2 964 €,1 975 €, 905 €, 0 €,1 298 €, 566 €,11 816 €
Kodavere Mihkli Kogudus,vald200,2018,350,10.3,0,14,0,0,0,0,89,Tartu,10 662 €,2 995 €,2 723 €, 950 €, 600 €,1 402 €, 602 €,11 626 €
Kodavere Mihkli Kogudus,vald201,2019,350,11.25,1,12,0,0,0,0,90,Tartu,31 186 €,3 071 €,2 841 €, 740 €, 700 €,1 516 €,21 217 €,12 056 €
Kodavere Mihkli Kogudus,vald202,2020,350,7,0,9,0,0,0,0,82,Tartu,12 645 €,3 266 €,2 588 €, 640 €,2 610 €,2 441 €,NA,14 515 €
Koeru Maarja-Magdaleena Kogudus,vald203,2017,535,18,1,8,1,0,0,0,92,Järva,80 905 €,3 439 €, 866 €,1 081 €,11 692 €,5 819 €,56 676 €,34 147 €
Koeru Maarja-Magdaleena Kogudus,vald204,2018,540,18,6,8,1,1,0,3,88,Järva,30 106 €,3 402 €,1 121 €, 922 €,17 208 €,5 838 €, 0 €,52 066 €
Koeru Maarja-Magdaleena Kogudus,vald205,2019,550,15,5,5,0,0,0,0,80,Järva,42 624 €,3 453 €,1 422 €, 792 €,3 000 €,4 960 €, 0 €,56 775 €
Koeru Maarja-Magdaleena Kogudus,vald206,2020,550,10,0,5,0,0,0,0,65,Järva,63 438 €,3 584 €,2 038 €, 384 €,45 520 €,6 157 €, 0 €,64 705 €
Kolga-Jaani Johannese Kogudus,vald207,2017,378,12,6,11,2,0,5,29,149,Viljandi,22 748 €,4 867 €, 803 €, 438 €,11 423 €,4 885 €, 0 €,30 377 €
Kolga-Jaani Johannese Kogudus,vald208,2018,350,11,1,4,1,0,3,32,145,Viljandi,53 244 €,5 444 €, 929 €, 110 €,1 947 €,14 006 €, 375 €,48 741 €
Kolga-Jaani Johannese Kogudus,vald209,2019,575,7,2,10,0,0,0,36,143,Viljandi,13 031 €,5 479 €, 870 €, 193 €,1 981 €,3 876 €, 375 €,19 036 €
Kolga-Jaani Johannese Kogudus,vald210,2020,550,38,1,11,0,0,0,19,122,Viljandi,53 277 €,5 888 €,1 810 €, 790 €,31 981 €,9 688 €, 370 €,45 250 €
Kõpu Peetri Kogudus,vald211,2017,189,16,12,9,1,0,0,277,86,Viljandi,31 762 €,4 181 €, 707 €,1 550 €,1 428 €,2 099 €,15 081 €,25 846 €
Kõpu Peetri Kogudus,vald212,2018,197,16,5,14,0,0,0,78,88,Viljandi,68 873 €,4 308 €,1 143 €,5 184 €,14 784 €,2 262 €,6 603 €,77 674 €
Kõpu Peetri Kogudus,vald213,2019,195,17,0,7,1,0,0,74,84,Viljandi,65 742 €,4 109 €,1 868 €,2 860 €,19 494 €,2 214 €,5 155 €,51 552 €
Kõpu Peetri Kogudus,vald214,2020,191,8,5,8,1,0,0,16,81,Viljandi,49 760 €,5 740 €, 655 €,2 150 €,25 422 €,2 331 €,5 875 €,57 486 €
Kose Püha Nikolause Kogudus,vald215,2017,793,26,2,25,0,0,0,25,191,Ida-Harju,72 540 €,10 659 €,6 720 €,1 550 €,2 180 €,1 398 €,2 900 €,113 403 €
Kose Püha Nikolause Kogudus,vald216,2018,685,24,12,30,2,2,0,45,194,Ida-Harju,121 235 €,12 476 €,4 687 €,2 337 €,6 915 €,1 820 €,17 866 €,108 619 €
Kose Püha Nikolause Kogudus,vald217,2019,680,37,5,35,0,0,0,15,187,Ida-Harju,116 300 €,12 753 €,6 955 €,2 410 €,20 781 €,8 852 €,3 568 €,133 232 €
Kose Püha Nikolause Kogudus,vald218,2020,680,1207,17,27,1,1,10,45,187,Ida-Harju,287 613 €,14 552 €, 900 €,1 840 €,193 275 €,57 089 €,10 819 €,219 459 €
Kullamaa Püha Johannese Kogudus,vald219,2017,600,15,2,20,0,0,0,0,156,Lääne,20 151 €,8 099 €,5 646 €,2 574 €,1 000 €, 180 €,2 630 €,23 487 €
Kullamaa Püha Johannese Kogudus,vald220,2018,600,16,1,11,0,0,0,0,157,Lääne,17 531 €,7 748 €,5 031 €,1 050 €,1 000 €,1 280 €, 420 €,18 461 €
Kullamaa Püha Johannese Kogudus,vald221,2019,600,18,2,23,1,0,0,0,158,Lääne,40 131 €,8 861 €,13 780 €,3 347 €,6 430 €, 180 €,7 533 €,30 540 €
Kullamaa Püha Johannese Kogudus,vald222,2020,600,25,0,15,0,0,0,0,154,Lääne,37 639 €,8 635 €,2 296 €,2 390 €,12 465 €, 730 €,4 713 €,39 783 €
Kunda Kolmekuninga Kogudus,vald223,2017,122,13.86,0,2,0,0,0,0,30,Viru,2 574 €, 575 €, 999 €, 0 €,1 000 €, 0 €, 0 €,2 645 €
Kunda Kolmekuninga Kogudus,vald224,2018,117,15.26,0,3,0,0,0,0,26,Viru,2 505 €, 637 €, 869 €, 0 €,1 000 €, 0 €, 0 €,2 833 €
Kunda Kolmekuninga Kogudus,vald225,2019,121,17.23,0,2,0,0,0,0,26,Viru,2 952 €, 672 €, 780 €, 0 €,1 500 €, 0 €, 0 €,2 724 €
Kunda Kolmekuninga Kogudus,vald226,2020,122,22,1,3,0,0,0,0,26,Viru,3 457 €, 866 €, 531 €, 100 €,1 960 €, 0 €, 0 €,3 224 €
Kuressaare Laurentiuse Kogudus,vald227,2017,3421,102,25,106,7,7,15,21,633,Saarte,196 805 €,24 224 €,30 386 €,15 385 €,60 500 €,61 425 €,3 637 €,178 727 €
Kuressaare Laurentiuse Kogudus,vald228,2018,3413,100,20,142,8,8,17,20,589,Saarte,243 713 €,22 996 €,28 262 €,18 246 €,107 700 €,58 894 €,6 337 €,185 873 €
Kuressaare Laurentiuse Kogudus,vald229,2019,3409,90,17,129,8,7,15,16,591,Saarte,282 000 €,22 179 €,32 582 €,16 545 €,132 700 €,63 472 €,13 650 €,373 403 €
Kuressaare Laurentiuse Kogudus,vald230,2020,3411,66,20,126,8,6,15,19,561,Saarte,166 397 €,24 068 €,8 228 €,17 245 €,13 911 €,48 156 €,21 741 €,140 315 €
Kursi Maarja-Eliisabeti Kogudus,vald231,2017,300,19,3,2,0,0,0,0,38,Tartu,7 279 €,1 761 €,1 162 €, 250 €, 800 €,1 792 €,1 514 €,5 282 €
Kursi Maarja-Eliisabeti Kogudus,vald232,2018,300,15,0,5,0,0,0,20,16,Tartu,12 297 €,1 143 €,1 892 €, 350 €,1 000 €,2 566 €,5 346 €,11 154 €
Kursi Maarja-Eliisabeti Kogudus,vald233,2019,250,16,1,2,0,0,0,15,16,Tartu,14 626 €,1 400 €, 871 €, 300 €,1 500 €,2 758 €,7 797 €,11 839 €
Kursi Maarja-Eliisabeti Kogudus,vald234,2020,230,6,0,0,0,0,0,0,9,Tartu,12 002 €, 916 €, 343 €, 0 €,2 085 €,1 222 €,7 436 €,14 187 €
Kuusalu Kogudus,vald235,2017,2000,30,2,62,0,0,2,12,254,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuusalu Kogudus,vald236,2018,2000,30,10,68,2,2,10,5,250,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuusalu Kogudus,vald237,2019,2000,27,4,71,1,1,5,5,230,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lääne-Nigula Püha Nikolause Kogudus,vald238,2017,1200,32,12,10,1,0,300,28,241,Lääne,82 947 €,11 053 €,5 974 €,1 160 €,6 747 €,2 915 €,41 506 €,98 299 €
Lääne-Nigula Püha Nikolause Kogudus,vald239,2018,1200,30,14,14,1,0,220,70,242,Lääne,72 408 €,13 740 €,6 812 €,2 356 €,6 650 €,2 492 €,32 074 €,71 584 €
Lääne-Nigula Püha Nikolause Kogudus,vald240,2019,1200,29,8,8,2,0,90,70,244,Lääne,117 118 €,15 803 €,7 814 €,1 166 €,4 500 €,3 006 €,26 127 €,70 984 €
Lääne-Nigula Püha Nikolause Kogudus,vald241,2020,1200,36,2,8,1,0,15,20,233,Lääne,76 600 €,17 270 €,4 902 €, 880 €,18 165 €,2 155 €,22 908 €,75 910 €
Laatre Püha Laurentsiuse Kogudus,vald242,2017,70,14,0,10,0,0,2,2,48,Valga,24 127 €, 908 €, 609 €, 180 €,15 000 €, 280 €, 50 €,24 119 €
Laatre Püha Laurentsiuse Kogudus,vald243,2018,1200,14,1,11,0,0,0,4,51,Valga,23 226 €, 945 €, 648 €, 90 €,15 800 €, 280 €, 0 €,25 907 €
Laatre Püha Laurentsiuse Kogudus,vald244,2019,1200,18,0,15,0,0,0,0,52,Valga,104 522 €, 990 €, 716 €, 150 €,91 251 €, 0 €,5 000 €,68 646 €
Laatre Püha Laurentsiuse Kogudus,vald245,2020,1500,22,4,18,0,0,0,0,57,Valga,110 869 €,1 135 €, 801 €, 200 €,105 951 €, 280 €, 0 €,51 627 €
Laiuse Püha Jüri Kogudus,vald246,2017,160,8.45,11,8,0,0,0,0,34,Tartu,17 268 €,2 045 €, 744 €, 500 €,2 850 €,7 839 €,2 900 €,14 953 €
Laiuse Püha Jüri Kogudus,vald247,2018,160,9,0,6,1,0,0,0,33,Tartu,23 654 €,2 672 €, 593 €, 600 €,1 800 €,7 839 €,2 500 €,19 366 €
Laiuse Püha Jüri Kogudus,vald248,2019,39,7,5,2,1,0,0,7,39,Tartu,18 316 €,5 278 €, 79 €, 0 €,3 800 €,7 839 €, 0 €,27 148 €
Laiuse Püha Jüri Kogudus,vald249,2020,46,20,3,4,0,0,0,0,39,Tartu,23 550 €,1 130 €, 0 €, 0 €,5 510 €,11 000 €,5 000 €,18 069 €
Leesi Katariina Kogudus,vald250,2017,350,10,0,7,0,0,0,0,99,Ida-Harju,12 449 €,1 389 €,3 285 €,1 355 €,6 300 €, 0 €, 0 €,8 188 €
Leesi Katariina Kogudus,vald251,2018,350,7,3,3,2,1,0,0,90,Ida-Harju,16 597 €,1 247 €, 430 €, 805 €,6 600 €, 0 €, 0 €,15 088 €
Leesi Katariina Kogudus,vald252,2019,350,7,0,4,0,0,0,0,90,Ida-Harju,10 394 €,2 394 €, 720 €, 140 €,2 000 €, 0 €, 0 €,15 185 €
Leesi Katariina Kogudus,vald253,2020,350,6,0,8,0,0,0,0,70,Ida-Harju,13 986 €,1 373 €,1 738 €, 0 €,7 500 €, 745 €, 0 €,26 392 €
Lihula Eliisabeti Kogudus,vald254,2017,750,9,0,7,0,0,0,0,27,Lääne,4 447 €,1 121 €, 997 €, 360 €, 0 €,1 909 €, 0 €,4 575 €
Lihula Eliisabeti Kogudus,vald255,2018,750,8,7,14,0,0,0,0,28,Lääne,4 770 €, 854 €,1 035 €, 760 €, 500 €,1 406 €, 200 €,4 667 €
Lihula Eliisabeti Kogudus,vald256,2019,750,8.5,3,7,0,0,0,0,27,Lääne,4 820 €,1 014 €,1 000 €, 560 €, 500 €,1 662 €, 0 €,4 805 €
Lihula Eliisabeti Kogudus,vald257,2020,750,7,3,9,1,0,0,0,29,Lääne,9 112 €,1 184 €, 995 €, 800 €, 500 €,4 853 €, 0 €,5 471 €
Lohusuu Kogudus,vald258,2017,320,16,0,5,0,0,0,0,120,Tartu,2 559 €,1 355 €,1 204 €, 0 €, 0 €, 0 €, 0 €,2 681 €
Lohusuu Kogudus,vald259,2018,320,18,1,4,0,0,0,10,115,Tartu,5 141 €,1 810 €,1 801 €, 261 €, 300 €, 0 €, 0 €,3 432 €
Lohusuu Kogudus,vald260,2019,320,20,10,5,0,0,0,14,117,Tartu,5 506 €,1 940 €, 467 €, 199 €, 900 €, 0 €, 0 €,4 824 €
Lohusuu Kogudus,vald261,2020,320,8,2,3,0,0,0,10,99,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loksa Püha Neitsi Maarja Kogudus,vald262,2017,450,10,0,20,0,0,0,0,83,Ida-Harju,22 707 €,1 537 €,1 985 €,3 170 €,13 735 €, 0 €, 0 €,22 313 €
Loksa Püha Neitsi Maarja Kogudus,vald263,2018,400,10,0,19,0,0,0,0,72,Ida-Harju,22 975 €,1 865 €,1 475 €,3 010 €,13 100 €, 0 €, 0 €,23 895 €
Loksa Püha Neitsi Maarja Kogudus,vald264,2019,380,8,0,19,1,0,0,0,68,Ida-Harju,30 945 €,1 325 €,1 940 €,2 810 €,16 000 €, 0 €, 0 €,31 681 €
Loksa Püha Neitsi Maarja Kogudus,vald265,2020,360,10,2,20,0,0,0,0,58,Ida-Harju,29 350 €,1 595 €,1 490 €,1 715 €,19 115 €, 0 €, 0 €,30 089 €
Lüganuse Ristija Johannese Kogudus,vald266,2017,715,33,2,20,1,0,0,0,158,Viru,28 389 €,7 823 €,2 236 €, 680 €,8 050 €, 0 €, 0 €,32 575 €
Lüganuse Ristija Johannese Kogudus,vald267,2018,700,27,7,24,0,0,8,10,153,Viru,54 090 €,8 558 €,3 242 €, 500 €,40 000 €, 0 €, 890 €,54 790 €
Lüganuse Ristija Johannese Kogudus,vald268,2019,689,20,2,9,0,0,39,0,135,Viru,44 756 €,6 817 €, 840 €, 150 €,33 863 €, 0 €, 385 €,17 652 €
Lüganuse Ristija Johannese Kogudus,vald269,2020,678,10,3,19,0,0,0,0,137,Viru,111 893 €,7 132 €,2 370 €, 0 €,99 826 €, 0 €,1 360 €,137 597 €
Maarja-Magdaleena Kogudus,vald270,2017,500,18.59,6,9,1,0,0,15,86,Tartu,17 056 €,6 232 €,1 509 €, 300 €, 0 €,7 168 €, 0 €,18 437 €
Maarja-Magdaleena Kogudus,vald271,2018,600,17,2,6,0,0,0,16,85,Tartu,21 966 €,8 422 €,1 785 €, 320 €, 0 €,7 409 €, 200 €,16 605 €
Maarja-Magdaleena Kogudus,vald272,2019,600,16,1,7,0,0,0,11,82,Tartu,93 514 €,6 846 €,1 708 €, 525 €,30 000 €,48 087 €, 0 €,56 289 €
Maarja-Magdaleena Kogudus,vald273,2020,500,10,0,6,0,0,0,10,61,Tartu,64 816 €,6 182 €,1 798 €, 700 €,43 780 €,11 781 €, 0 €,20 960 €
Märjamaa Maarja Kogudus,vald274,2017,844,25,6,10,0,0,0,19,79,Lääne,17 487 €,6 369 €,3 951 €,1 055 €, 270 €,1 404 €,4 000 €,18 096 €
Märjamaa Maarja Kogudus,vald275,2018,840,21,5,9,3,1,0,15,71,Lääne,14 574 €,6 534 €,3 897 €, 925 €, 420 €,1 466 €,1 000 €,15 194 €
Märjamaa Maarja Kogudus,vald276,2019,827,19,0,12,0,0,0,6,67,Lääne,55 807 €,4 337 €,6 732 €,1 480 €, 450 €,1 429 €,39 480 €,26 832 €
Märjamaa Maarja Kogudus,vald277,2020,821,14,2,13,0,0,0,9,47,Lääne,21 651 €,3 775 €,5 488 €,1 170 €, 495 €, 840 €,4 571 €,29 864 €
Martna Püha Martini Kogudus,vald278,2017,148,36,5,5,1,1,0,36,67,Lääne,29 641 €,3 798 €,1 328 €, 715 €,4 050 €, 0 €,18 286 €,33 743 €
Martna Püha Martini Kogudus,vald279,2018,146,25,0,2,0,0,8,48,43,Lääne,15 297 €,4 345 €,1 603 €, 260 €,4 000 €, 0 €,3 442 €,38 319 €
Martna Püha Martini Kogudus,vald280,2019,147,22.62,3,8,0,0,7,50,44,Lääne,33 651 €,3 955 €,1 733 €, 740 €,4 925 €, 0 €,14 005 €,30 723 €
Martna Püha Martini Kogudus,vald281,2020,146,9,0,7,0,0,0,0,28,Lääne,20 458 €,5 916 €, 782 €, 630 €,4 500 €, 0 €,6 882 €,27 781 €
Mehikoorma Kogudus,vald282,2017,80,10,0,12,0,0,0,16,34,Võru,1 408 €, 630 €, 0 €, 310 €, 450 €, 0 €, 0 €,1 404 €
Mehikoorma Kogudus,vald283,2018,115,8,0,5,0,0,0,5,31,Võru,1 931 €, 610 €, 271 €, 0 €, 500 €, 0 €, 0 €,1 922 €
Mehikoorma Kogudus,vald284,2019,59,6,0,5,0,0,0,0,29,Võru,12 750 €, 560 €, 190 €, 0 €,12 000 €, 0 €, 0 €,12 955 €
Mehikoorma Kogudus,vald285,2020,76,6,0,7,0,0,0,0,29,Võru,3 113 €, 830 €, 163 €, 0 €,1 300 €, 0 €, 0 €,2 549 €
Mihkli Miikaeli Kogudus,vald286,2017,398,9,0,2,0,0,0,0,78,Lääne,13 662 €,3 016 €,1 118 €, 60 €,7 500 €,1 756 €, 0 €,11 195 €
Mihkli Miikaeli Kogudus,vald287,2018,390,11,0,2,0,0,0,0,75,Lääne,17 324 €,2 901 €,3 289 €, 0 €,1 210 €,1 686 €, 0 €,25 468 €
Mihkli Miikaeli Kogudus,vald288,2019,390,9,3,2,0,0,0,0,88,Lääne,8 849 €,3 195 €,2 981 €, 30 €, 850 €,1 686 €, 0 €,10 068 €
Mihkli Miikaeli Kogudus,vald289,2020,385,5,0,4,0,0,0,0,88,Lääne,9 314 €,2 455 €, 699 €, 100 €,2 675 €,1 286 €, 0 €,11 842 €
Mõisaküla Kogudus,vald290,2017,260,21,0,3,0,0,0,38,106,Viljandi,12 375 €,1 730 €,1 355 €, 50 €, 0 €, 0 €,5 107 €,20 612 €
Mõisaküla Kogudus,vald291,2018,255,20,0,1,0,0,0,3,102,Viljandi,12 346 €,1 765 €,1 720 €, 60 €, 480 €, 0 €,8 211 €,13 538 €
Mõisaküla Kogudus,vald292,2019,255,25,0,3,1,0,0,35,100,Viljandi,9 605 €,1 705 €,1 647 €, 50 €, 300 €, 0 €,5 124 €,7 956 €
Mõisaküla Kogudus,vald293,2020,250,11,4,0,0,0,0,0,89,Viljandi,10 321 €,1 571 €, 817 €, 120 €,2 090 €, 0 €,5 194 €,7 255 €
Muhu Katariina Kogudus,vald294,2017,136,17,1,2,1,0,6,6,47,Saarte,44 377 €,1 253 €,2 976 €, 400 €, 500 €,8 645 €, 0 €,28 678 €
Muhu Katariina Kogudus,vald295,2018,136,18,8,10,1,1,0,0,44,Saarte,16 155 €,2 597 €, 950 €, 120 €, 0 €, 0 €, 0 €,20 478 €
Muhu Katariina Kogudus,vald296,2019,132,23,0,10,2,2,0,0,46,Saarte,5 228 €,2 646 €,1 801 €, 170 €, 0 €, 0 €, 0 €,7 924 €
Muhu Katariina Kogudus,vald297,2020,131,19,2,2,0,0,0,0,48,Saarte,8 611 €,2 685 €,1 666 €, 320 €,1 620 €, 100 €, 0 €,5 536 €
Mustamäe Maarja Magdaleena Kogudus,vald298,2017,107,24,5,1,0,0,16,55,59,Tallinna,48 452 €,6 089 €,2 182 €, 0 €, 0 €, 0 €,39 373 €,47 868 €
Mustamäe Maarja Magdaleena Kogudus,vald299,2018,125,23,8,0,0,0,4,60,71,Tallinna,68 890 €,4 695 €,3 257 €, 0 €, 0 €, 0 €,52 086 €,50 823 €
Mustamäe Maarja Magdaleena Kogudus,vald300,2019,126,24,1,1,0,0,10,45,72,Tallinna,110 991 €,7 106 €,5 312 €, 0 €, 0 €, 0 €,40 443 €,120 751 €
Mustamäe Maarja Magdaleena Kogudus,vald301,2020,127,15,2,1,0,0,8,10,44,Tallinna,80 237 €,5 272 €,2 557 €, 0 €,1 590 €, 0 €,43 616 €,48 354 €
Mustjala Anna Kogudus,vald302,2017,250,21,1,11,1,1,0,16,49,Saarte,15 484 €,1 718 €,1 476 €,1 138 €,9 000 €, 0 €,2 149 €,12 271 €
Mustjala Anna Kogudus,vald303,2018,250,13,4,2,1,1,0,14,48,Saarte,9 176 €,1 512 €,1 059 €,1 072 €,4 150 €, 304 €,1 075 €,7 449 €
Mustjala Anna Kogudus,vald304,2019,250,12,1,2,1,1,0,12,47,Saarte,10 233 €,1 480 €, 977 €, 460 €,6 000 €, 0 €, 246 €,20 640 €
Mustjala Anna Kogudus,vald305,2020,250,12,2,7,0,0,0,9,47,Saarte,12 578 €,1 990 €, 483 €, 937 €,8 486 €, 412 €, 0 €,15 347 €
Mustvee Kogudus,vald306,2017,500,32,12,9,1,1,0,0,298,Tartu,19 223 €,10 926 €,3 617 €, 830 €, 150 €, 200 €,3 500 €,15 691 €
Mustvee Kogudus,vald307,2018,500,30,5,6,0,0,0,0,295,Tartu,17 814 €,9 967 €,2 373 €, 885 €, 300 €, 200 €,4 089 €,14 693 €
Mustvee Kogudus,vald308,2019,500,30,8,5,4,2,0,0,301,Tartu,18 139 €,10 055 €,2 380 €, 300 €, 300 €, 0 €,5 104 €,14 272 €
Mustvee Kogudus,vald309,2020,500,20,7,9,2,0,0,0,270,Tartu,23 439 €,12 220 €, 823 €, 662 €,5 685 €, 0 €,4 049 €,18 228 €
Narva Maarja Kogudus,vald310,2017,70,13,2,10,0,0,0,3,63,Viru,17 903 €,2 942 €,2 557 €, 535 €,2 323 €, 903 €,1 540 €,31 308 €
Narva Maarja Kogudus,vald311,2018,89,13,8,16,0,0,0,5,73,Viru,779 829 €,3 095 €,5 507 €,2 400 €,245 000 €,6 592 €,3 000 €,785 974 €
Narva Maarja Kogudus,vald312,2019,88,11,1,12,0,0,3,5,70,Viru,425 091 €,3 065 €,8 021 €,1 264 €,205 000 €,19 148 €, 0 €,434 949 €
Narva Maarja Kogudus,vald313,2020,100,11,1,10,0,0,3,2,66,Viru,47 372 €,4 295 €,6 421 €,1 108 €,9 971 €, 0 €,7 575 €,43 255 €
Narva-Jõesuu Kogudus,vald314,2017,144,11,1,2,0,0,0,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narva-Jõesuu Kogudus,vald315,2018,129,14,2,1,0,0,0,15,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narva-Jõesuu Kogudus,vald316,2019,127,14,0,1,0,0,0,12,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nissi Maarja Kogudus,vald317,2017,800,26,16,25,4,3,0,30,150,Lääne-Harju,52 305 €,14 342 €,2 709 €,2 753 €, 0 €,1 145 €, 0 €,31 203 €
Nissi Maarja Kogudus,vald318,2018,800,25,5,25,0,0,0,23,147,Lääne-Harju,26 719 €,10 570 €,2 790 €,4 110 €, 198 €,1 163 €, 492 €,51 124 €
Nissi Maarja Kogudus,vald319,2019,700,27,11,27,1,1,0,0,150,Lääne-Harju,29 890 €,9 662 €,1 794 €,4 835 €, 0 €,1 544 €,8 539 €,45 915 €
Nissi Maarja Kogudus,vald320,2020,108,14.05,7,20,3,3,0,0,100,Lääne-Harju,42 157 €,11 083 €,12 281 €,2 915 €,4 399 €,6 232 €,1 837 €,42 278 €
Noarootsi Püha Katariina Kogudus,vald321,2017,152,19,4,1,1,0,0,10,23,Lääne,32 740 €,1 156 €,1 993 €, 370 €, 0 €, 711 €,7 638 €,35 561 €
Noarootsi Püha Katariina Kogudus,vald322,2018,149,23,0,0,2,0,0,0,24,Lääne,29 413 €,1 074 €,2 439 €, 570 €, 0 €, 771 €,7 711 €,34 348 €
Noarootsi Püha Katariina Kogudus,vald323,2019,145,18,1,1,1,0,0,10,24,Lääne,28 001 €,1 205 €,2 357 €, 520 €, 0 €, 771 €,8 538 €,30 920 €
Noarootsi Püha Katariina Kogudus,vald324,2020,140,8,0,3,0,0,0,0,28,Lääne,14 937 €,1 398 €,1 913 €, 440 €,1 820 €, 771 €,8 275 €,16 476 €
Nõmme Rahu Kogudus,vald325,2017,3500,175,23,41,5,4,0,42,403,Tallinna,293 811 €,30 405 €,10 978 €,7 678 €,200 000 €,23 224 €,10 236 €,308 157 €
Nõmme Rahu Kogudus,vald326,2018,3500,175,28,40,7,7,0,35,401,Tallinna,114 848 €,33 345 €,13 779 €,10 535 €,21 000 €,20 264 €,6 489 €,121 483 €
Nõmme Rahu Kogudus,vald327,2019,3500,175,28,40,7,7,0,35,410,Tallinna,104 843 €,36 797 €,11 987 €,11 620 €,14 349 €,23 048 €,6 392 €,106 727 €
