Kov,Maakond,Kandidaat,Erakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 162 IGOR MOŠKOV,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 163 NATALJA PETROVA,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 164 ALEKSEI VNUKOV,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 165 NELLI SAMELI,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 166 LEO KUUSEMÄE,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 167 LIINA PIIRISALU,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 168 KAIDO SEPPAR,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 169 ANDREI PALMBERG,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 170 ÜLLE SAHAROV,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 171 JURI BARANOV,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 172 SERGEI SUPONENKO,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 173 NADEŽDA PETROVA,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 174 TIIT JÕGI,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 175 OLGA PAGAJEVA,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 176 MAKSIM ILJIN,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 177 INGE MUŠKINA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 178 NATALJA MJATŠINA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 179 OLGA BARANOVA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 180 JEVGENI HOHLOV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 181 SVETLANA MOISSEJEVA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 182 ELVIIRA ALJOŠINA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 183 ANDRANIK DANIELJAN,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 184 REIN PEIKER,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 185 MEELIS KALJURAND,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 186 TIIU TOOM,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 187 LARISSA GOLT,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 188 LJUDMILA RAKOVA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 189 JOEL GULJAVIN,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 190 ARTUR EISTRE,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 191 AIME LOGATŠOVA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 192 ANŽELA VOROBJOVA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 193 JURI ANDREJEV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 194 JULIA LOŽKINA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 195 JELENA OZORNOVA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 196 LJUBOV OLKHOVETSKAYA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 197 DMITRI KUZNETSOV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 198 VALERI MAASIK,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 199 ANDREI IVANOV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 200 VADIM KRONK,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 201 ANATOLI ILKEVITŠ,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 202 SERGEI RÕMAR,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 203 ALEKSANDR ALEKSANDRIN,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 204 ALINA SOZONOVA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 205 KONSTANTIN PETROV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 206 JULIA FORSTIMAN,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 207 GRIGORI USSOV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 208 OLGA BATLUK,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 209 DMITRI MAKAROV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 210 ALEKSANDR MELNIKOV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 211 SERGEI MIŠTŠUK,Üksikkandidaadid
Narva-Jõesuu linn,Ida-Viru maakond,nr 212 SVEN UDAM,Üksikkandidaadid
