kogudus,asukoht_nimi,asukoht,praostkond,aasta,liikmeid_kokku,keskmiselt_vottis_jumala_teenistustest_osa,ristiti,maeti,laulatati,abielu_registreeriti,noorte_toos_osales,lastetoos_osales,annetaja_liikmeid_oli_kokku,tulud_kokku,liikmeannetused,korjandused,ametitalitused,avaliku_sektori_toetused_kokku,tulu_kinnisvarast,valisannetused_ja_toetused_kokku,kulud_kokku
Tartu Pauluse Kogudus,Tartu linn,vald16,Tartu,2019,6 300, 169, 103, 243, 15, 12, 25, 100,1 336,500 859 €,97 590,75 595,42 016,166 319,21 917,3 402,422 347 €
Tartu Pauluse Kogudus,Tartu linn,vald16,Tartu,2020,6 500, 112, 92, 218, 14, 12, 15, 100,1 331,492 069 €,99 562,67 669,35 330,178 343,22 740,2 000,543 820 €
Tartu Peetri Kogudus,Tartu linn,vald16,Tartu,2017,8 967, 115, 79, 37, 15, 13, 2, 29, 723,149 609 €,43 347,28 535,4 515,18 000, 0,6 754,145 772 €
Tartu Peetri Kogudus,Tartu linn,vald16,Tartu,2018,8 910, 122, 83, 47, 16, 13, 0, 15, 743,145 112 €,42 406,32 857,8 808,10 000, 0,19 553,118 194 €
Tartu Peetri Kogudus,Tartu linn,vald16,Tartu,2019,8 768, 116, 80, 71, 9, 6, 0, 5, 716,138 147 €,43 968,50 513,6 998,15 200, 0,4 208,137 447 €
Tartu Peetri Kogudus,Tartu linn,vald16,Tartu,2020,8 691, 71, 76, 48, 6, 4, 0, 7, 710,135 869 €,45 513,32 335,6 391,47 399, 0,2 231,136 093 €
Tartu Soome Kogudus,Tartu linn,vald16,Tartu,2017, 49, 21, 0, 3, 0, 0, 0, 0, 38, 601 €, 190, 411, 0, 0, 0, 0, 629 €
Tartu Soome Kogudus,Tartu linn,vald16,Tartu,2018, 48, 17, 0, 2, 0, 0, 0, 0, 38, 638 €, 190, 448, 0, 0, 0, 0, 663 €
Tartu Soome Kogudus,Tartu linn,vald16,Tartu,2019, 46, 17, 0, 2, 0, 0, 0, 0, 31, 539 €, 155, 384, 0, 0, 0, 0, 637 €
Tartu Soome Kogudus,Tartu linn,vald16,Tartu,2020, 45, 13, 0, 1, 0, 0, 0, 0, 27,1 349 €, 135, 359, 0, 855, 0, 0,1 477 €
Tarvastu Peetri Kogudus,Viljandi vald,vald21,Viljandi,2017, 361, 14, 0, 9, 0, 0, 0, 0, 83,8 588 €,3 860,1 123, 495, 0,2 882, 228,8 386 €
Tarvastu Peetri Kogudus,Viljandi vald,vald21,Viljandi,2018, 354, 14, 0, 4, 0, 0, 0, 0, 80,19 466 €,4 399,2 100, 880,1 058,3 427,1 750,13 075 €
Tarvastu Peetri Kogudus,Viljandi vald,vald21,Viljandi,2019, 347, 14, 1, 4, 0, 0, 0, 0, 78,12 817 €,3 327,2 018, 435,1 111,3 075,1 235,11 588 €
Tarvastu Peetri Kogudus,Viljandi vald,vald21,Viljandi,2020, 317, 9, 0, 5, 0, 0, 0, 0, 59,14 351 €,3 258, 467, 355,4 871,3 137,1 632,15 266 €
Tori Püha Jüri Kogudus,Tori vald,vald49,Pärnu,2017, 104, 98, 4, 12, 4, 0, 0, 0, 46,37 713 €, 937,6 252, 600, 0,11 952, 792,26 724 €
Tori Püha Jüri Kogudus,Tori vald,vald49,Pärnu,2018, 106, 93, 2, 7, 1, 0, 0, 0, 48,17 452 €,1 217,4 544, 570, 0,10 800, 0,21 410 €
Tori Püha Jüri Kogudus,Tori vald,vald49,Pärnu,2019, 400, 130, 2, 7, 2, 0, 0, 0, 41,117 426 €,1 172,4 290, 510, 250,11 200, 0,51 538 €
Tori Püha Jüri Kogudus,Tori vald,vald49,Pärnu,2020, 112, 7, 2, 8, 0, 0, 0, 0, 38,19 194 €,1 261,3 968, 575,1 035,12 106, 0,107 077 €
Torma Maarja Kogudus,Jõgeva vald,vald68,Tartu,2017,1 000, 25, 0, 13, 0, 0, 0, 8, 168,24 613 €,4 015,1 321, 650, 0,4 549,8 311,18 275 €
Torma Maarja Kogudus,Jõgeva vald,vald68,Tartu,2018,1 000, 24, 0, 14, 0, 0, 0, 8, 166,30 617 €,4 370, 389, 700, 300,3 080,8 662,28 045 €
Torma Maarja Kogudus,Jõgeva vald,vald68,Tartu,2019,1 000, 22, 1, 23, 0, 0, 0, 6, 154,28 826 €,4 127,1 096, 900,3 800,2 890,10 816,24 121 €
Torma Maarja Kogudus,Jõgeva vald,vald68,Tartu,2020,1 000, 17, 0, 9, 0, 0, 0, 5, 141,25 866 €,3 978, 208, 640,8 305,3 220,5 418,24 916 €
Tõstamaa Maarja Kogudus,Pärnu linn,vald57,Pärnu,2017, 94, 14, 1, 2, 0, 0, 0, 0, 26,3 958 €, 500, 841, 140, 0, 0,2 191,5 918 €
Tõstamaa Maarja Kogudus,Pärnu linn,vald57,Pärnu,2018, 93, 19, 1, 3, 0, 0, 0, 0, 24,4 642 €, 460, 915, 95, 0, 0,2 945,6 395 €
Tõstamaa Maarja Kogudus,Pärnu linn,vald57,Pärnu,2019, 90, 13, 0, 6, 0, 0, 0, 0, 21,5 531 €, 540, 623, 450, 0, 0,3 696,7 216 €
Tõstamaa Maarja Kogudus,Pärnu linn,vald57,Pärnu,2020, 90, 6, 0, 1, 0, 0, 0, 0, 21,6 284 €, 580, 680, 0, 0, 100,3 873,7 267 €
Treimani Kogudus,Häädemeeste vald,vald11,Pärnu,2017, 102, 15, 0, 2, 0, 0, 0, 0, 33,1 804 €, 640, 379, 100, 0, 0, 685, 912 €
Treimani Kogudus,Häädemeeste vald,vald11,Pärnu,2018, 102, 11, 0, 1, 0, 0, 0, 0, 30,1 718 €, 635, 215, 170, 0, 0, 408,1 208 €
Treimani Kogudus,Häädemeeste vald,vald11,Pärnu,2019, 101, 10, 0, 0, 0, 0, 0, 0, 27,1 085 €, 530, 275, 50, 0, 0, 0,1 217 €
Treimani Kogudus,Häädemeeste vald,vald11,Pärnu,2020, 100, 9, 0, 0, 0, 0, 0, 0, 29,1 901 €, 520, 185, 40, 0, 0, 131,1 272 €
Tudulinna Rahu Kogudus,Alutaguse vald,vald74,Viru,2017, 125, 12, 0, 1, 0, 0, 0, 0, 24,2 968 €, 415, 754, 0, 0, 0,1 798,3 287 €
Tudulinna Rahu Kogudus,Alutaguse vald,vald74,Viru,2018, 118, 11, 0, 1, 0, 0, 0, 0, 19,2 855 €, 400, 462, 0, 0, 0,1 891,2 436 €
Tudulinna Rahu Kogudus,Alutaguse vald,vald74,Viru,2019, 119, 11, 0, 1, 0, 0, 0, 0, 17,5 449 €, 370, 552, 0, 700, 0,2 253,4 056 €
Tudulinna Rahu Kogudus,Alutaguse vald,vald74,Viru,2020, 110, 5, 0, 0, 0, 0, 0, 0, 23,4 482 €, 335, 391,-, 800,-,2 954,2 596 €
Tuhala Kaarli Kogudus,Kose vald,vald38,Ida-Harju,2017, 225, 14, 3, 0, 3, 0, 5, 13, 65,17 660 €,4 483,2 880,1 160,2 000,1 139,3 916,20 760 €
Tuhala Kaarli Kogudus,Kose vald,vald38,Ida-Harju,2018, 228, 11, 5, 1, 1, 0, 0, 0, 54,26 023 €,7 048,2 990, 305, 0, 655,3 282,23 771 €
Tuhala Kaarli Kogudus,Kose vald,vald38,Ida-Harju,2019, 245, 11, 7, 1, 2, 0, 0, 0, 65,51 162 €,7 026,2 509,1 020, 0, 0,3 000,58 543 €
Tuhala Kaarli Kogudus,Kose vald,vald38,Ida-Harju,2020, 233, 6, 0, 1, 1, 0, 0, 0, 45,66 062 €,5 960,2 350, 895,52 476, 749,3 000,32 454 €
Türi Püha Martini Kogudus,Türi vald,vald71,Järva,2017, 576, 28, 2, 24, 3, 0, 0, 5, 237,72 212 €,9 149,5 923,1 070,41 000,1 385,2 700,72 315 €
Türi Püha Martini Kogudus,Türi vald,vald71,Järva,2018, 570, 36, 4, 20, 1, 0, 0, 10, 225,42 493 €,10 380,10 499,1 060,14 400,1 350,4 105,46 497 €
Türi Püha Martini Kogudus,Türi vald,vald71,Järva,2019, 565, 27, 7, 24, 1, 0, 0, 0, 210,94 321 €,9 217,11 666,1 755,63 372, 670,3 271,89 048 €
Türi Püha Martini Kogudus,Türi vald,vald71,Järva,2020, 565, 13, 1, 7, 0, 0, 0, 0, 203,81 368 €,10 307,13 399, 660,52 035, 0,2 791,74 193 €
Urvaste Püha Urbanuse Kogudus,Antsla vald,vald5,Võru,2017,1 910, 24, 40, 70, 8, 8, 21, 9, 423,134 291 €,9 314,11 663, 536,101 890,3 253,2 952,137 871 €
Urvaste Püha Urbanuse Kogudus,Antsla vald,vald5,Võru,2018,1 880, 24, 34, 68, 6, 5, 11, 11, 408,163 804 €,10 747,18 650,1 019,118 058, 794,3 023,164 956 €
Urvaste Püha Urbanuse Kogudus,Antsla vald,vald5,Võru,2019,1 800, 26, 37, 90, 5, 5, 8, 10, 365,144 621 €,8 424,19 962,2 908,104 100, 794,2 456,146 491 €
Urvaste Püha Urbanuse Kogudus,Antsla vald,vald5,Võru,2020,1 700, 23, 24, 71, 7, 7, 15, 10, 360,86 145 €,10 598,16 840,1 490,39 052,3 633,3 621,75 010 €
Vahastu Kogudus,Rapla vald,vald72,Järva,2017, 95, 3, 0, 1, 0, 0, 0, 0, 26,7 990 €, 510, 370, 200,4 310,2 500, 0,6 066 €
Vahastu Kogudus,Rapla vald,vald72,Järva,2018, 93, 3, 0, 1, 0, 0, 0, 0, 29,41 056 €, 505, 361, 200,4 334,35 553, 0,31 342 €
Vahastu Kogudus,Rapla vald,vald72,Järva,2019, 90, 3, 0, 2, 0, 0, 0, 0, 27,6 883 €, 475, 332, 150,3 060,2 866, 0,6 796 €
Vahastu Kogudus,Rapla vald,vald72,Järva,2020, 86, 3, 0, 0, 0, 0, 0, 0, 22,8 155 €, 430, 865, 0,3 921,2 939, 0,10 062 €
Väike-Maarja Kogudus,Väike-Maarja vald,vald29,Viru,2017,1 244, 12, 1, 2, 0, 0, 0, 47, 22,8 774 €, 651, 429, 40,5 525,1 909, 220,8 727 €
Väike-Maarja Kogudus,Väike-Maarja vald,vald29,Viru,2018, 128, 9, 0, 1, 0, 0, 0, 0, 18,3 049 €, 634, 647, 0, 0,1 552, 215,2 209 €
Väike-Maarja Kogudus,Väike-Maarja vald,vald29,Viru,2019, 43, 12, 2, 4, 1, 0, 0, 3, 23,25 533 €, 821,1 925, 475, 300,1 014, 215,18 071 €
Väike-Maarja Kogudus,Väike-Maarja vald,vald29,Viru,2020, 500, 12, 0, 5, 0, 0, 0, 0, 28,16 272 €,1 450,3 220, 430,2 884, 916, 215,14 956 €
Valga Peetri-Luke Kogudus,Valga vald,vald2,Valga,2017, 680, 27, 7, 69, 0, 0, 0, 5, 101,24 958 €,3 925,6 149,1 370,2 000,7 648, 650,23 470 €
Valga Peetri-Luke Kogudus,Valga vald,vald2,Valga,2018, 340, 28, 5, 64, 1, 0, 0, 4, 90,30 308 €,4 684,4 214, 965,2 000,4 603, 967,31 696 €
Valga Peetri-Luke Kogudus,Valga vald,vald2,Valga,2019, 360, 25, 13, 47, 1, 0, 0, 3, 104,37 368 €,5 442,3 439,1 040,13 853,4 282,1 100,41 462 €
Valga Peetri-Luke Kogudus,Valga vald,vald2,Valga,2020, 370, 23, 6, 40, 1, 0, 2, 3, 107,57 006 €,6 061,2 779, 950,25 302, 150,5 500,55 475 €
